state,date,crop_type,planted_area,production
Johor,2022-01-01,cash_crops,3397.3,46960.0
Johor,2022-01-01,coconut,13269.8,124062.2
Johor,2022-01-01,flower,1461.1,168133530.0
Johor,2022-01-01,fruits,50217.0,772317.4
Johor,2022-01-01,herbs,256.2,2722.4
Johor,2022-01-01,industrial_crops,13820.5,128173.1
Johor,2022-01-01,paddy,2776.0,10832.0
Johor,2022-01-01,spices,1568.0,17925.1
Johor,2022-01-01,vegetables,17188.3,245330.4
Kedah,2022-01-01,cash_crops,496.2,4462.4
Kedah,2022-01-01,coconut,1773.7,31787.5
Kedah,2022-01-01,flower,40.5,718245.0
Kedah,2022-01-01,fruits,9762.2,96009.6
Kedah,2022-01-01,herbs,176.5,282.7
Kedah,2022-01-01,industrial_crops,2051.5,35503.6
Kedah,2022-01-01,paddy,213718.0,834901.0
Kedah,2022-01-01,spices,419.9,2166.5
Kedah,2022-01-01,vegetables,1051.2,15812.1
Kelantan,2022-01-01,cash_crops,1597.7,18574.6
Kelantan,2022-01-01,coconut,11435.6,77467.0
Kelantan,2022-01-01,flower,35.9,4013423.0
Kelantan,2022-01-01,fruits,21326.5,134277.4
Kelantan,2022-01-01,herbs,161.8,786.4
Kelantan,2022-01-01,industrial_crops,11593.7,78070.5
Kelantan,2022-01-01,paddy,74017.0,272633.0
Kelantan,2022-01-01,spices,583.0,4730.9
Kelantan,2022-01-01,vegetables,4892.1,137912.7
Melaka,2022-01-01,cash_crops,398.4,3120.0
Melaka,2022-01-01,coconut,3013.8,20659.9
Melaka,2022-01-01,flower,38.0,643850.0
Melaka,2022-01-01,fruits,5631.5,28518.7
Melaka,2022-01-01,herbs,14.4,59.3
Melaka,2022-01-01,industrial_crops,3065.4,20882.7
Melaka,2022-01-01,paddy,3318.0,10314.0
Melaka,2022-01-01,spices,102.2,798.9
Melaka,2022-01-01,vegetables,748.5,12181.4
Negeri Sembilan,2022-01-01,cash_crops,446.4,5315.4
Negeri Sembilan,2022-01-01,coconut,1491.2,14521.2
Negeri Sembilan,2022-01-01,flower,23.5,2797007.0
Negeri Sembilan,2022-01-01,fruits,6107.7,68198.9
Negeri Sembilan,2022-01-01,herbs,18.2,104.7
Negeri Sembilan,2022-01-01,industrial_crops,1554.7,15170.3
Negeri Sembilan,2022-01-01,paddy,1313.0,4941.0
Negeri Sembilan,2022-01-01,spices,341.9,4674.0
Negeri Sembilan,2022-01-01,vegetables,1791.5,21022.5
Pahang,2022-01-01,cash_crops,943.4,8412.1
Pahang,2022-01-01,coconut,2899.7,27270.0
Pahang,2022-01-01,flower,393.0,97549069.0
Pahang,2022-01-01,fruits,27331.1,271797.9
Pahang,2022-01-01,herbs,164.3,923.1
Pahang,2022-01-01,industrial_crops,4885.8,43331.6
Pahang,2022-01-01,paddy,13757.0,51185.0
Pahang,2022-01-01,spices,1081.2,10571.9
Pahang,2022-01-01,vegetables,21391.2,455641.4
Perak,2022-01-01,cash_crops,4620.0,79518.2
Perak,2022-01-01,coconut,7727.7,88291.6
Perak,2022-01-01,flower,149.5,24842991.0
Perak,2022-01-01,fruits,11588.7,101488.2
Perak,2022-01-01,herbs,457.9,1096.7
Perak,2022-01-01,industrial_crops,7786.7,88839.5
Perak,2022-01-01,paddy,74594.0,269790.0
