state,date,crop_type,planted_area,production
Malaysia,2017-01-01,cash_crops,20763.1,217847.5
Malaysia,2018-01-01,cash_crops,19028.2,215087.6
Malaysia,2019-01-01,cash_crops,17082.0,221310.2
Malaysia,2020-01-01,cash_crops,19090.9,223506.8
Malaysia,2021-01-01,cash_crops,20070.3,239011.9
Malaysia,2022-01-01,cash_crops,18329.1,215632.4
Malaysia,2017-01-01,coconut,83250.1,517588.5
Malaysia,2018-01-01,coconut,83436.4,491465.4
Malaysia,2019-01-01,coconut,86466.3,536605.7
Malaysia,2020-01-01,coconut,84942.0,560984.3
Malaysia,2021-01-01,coconut,81469.6,557353.7
Malaysia,2022-01-01,coconut,84935.9,604428.4
Malaysia,2017-01-01,flower,2605.1,509085932.0
Malaysia,2018-01-01,flower,2652.0,518249478.0
Malaysia,2019-01-01,flower,2702.3,528096218.0
Malaysia,2020-01-01,flower,2626.7,402409318.0
Malaysia,2021-01-01,flower,2554.4,348326666.0
Malaysia,2022-01-01,flower,2588.4,355423782.2
Malaysia,2017-01-01,fruits,208590.1,1492600.9
Malaysia,2018-01-01,fruits,195480.6,1543086.0
Malaysia,2019-01-01,fruits,184549.5,1560906.0
Malaysia,2020-01-01,fruits,191865.9,1549790.6
Malaysia,2021-01-01,fruits,199419.8,1686875.5
Malaysia,2022-01-01,fruits,203431.3,1827992.3
Malaysia,2017-01-01,herbs,2424.2,11741.9
Malaysia,2018-01-01,herbs,3010.5,12389.4
Malaysia,2019-01-01,herbs,2315.7,9018.6
Malaysia,2020-01-01,herbs,2079.6,9077.1
Malaysia,2021-01-01,herbs,2017.7,9339.8
Malaysia,2022-01-01,herbs,2108.0,9951.2
Malaysia,2017-01-01,industrial_crops,133928.5,758335.0
Malaysia,2018-01-01,industrial_crops,132761.2,589940.1
Malaysia,2019-01-01,industrial_crops,138490.0,755630.0
Malaysia,2020-01-01,industrial_crops,159486.0,716977.6
Malaysia,2021-01-01,industrial_crops,156385.0,713949.5
Malaysia,2022-01-01,industrial_crops,127771.6,741168.3
Malaysia,2017-01-01,paddy,685548.0,2570513.0
Malaysia,2018-01-01,paddy,699980.0,2639202.0
Malaysia,2019-01-01,paddy,672084.0,2352870.0
Malaysia,2020-01-01,paddy,644908.2,2356391.9
Malaysia,2021-01-01,paddy,647936.0,2441597.0
Malaysia,2022-01-01,paddy,637935.0,2281739.0
Malaysia,2017-01-01,spices,7467.3,60457.8
Malaysia,2018-01-01,spices,6552.6,55195.1
Malaysia,2019-01-01,spices,5815.6,51336.7
Malaysia,2020-01-01,spices,5958.6,52541.3
Malaysia,2021-01-01,spices,5978.1,54037.9
Malaysia,2022-01-01,spices,5913.8,53727.4
Malaysia,2017-01-01,vegetables,62538.5,1003536.5
Malaysia,2018-01-01,vegetables,58817.7,997745.4
Malaysia,2019-01-01,vegetables,62025.9,1020713.7
Malaysia,2020-01-01,vegetables,61613.6,1030064.1
Malaysia,2021-01-01,vegetables,65911.0,1088038.6
Malaysia,2022-01-01,vegetables,68111.6,1163793.3
